time	 clk	 reset	 enable	 load 	 dataIn 	 out	
VCD info: dumpfile counter_8bit_vcd.vcd opened for output.
3140	 1	 0	 0	 0	 11010101	 10011011	
3150	 0	 0	 0	 0	 11010101	 10011100	
3160	 1	 0	 0	 0	 11010101	 10011100	
3170	 0	 0	 0	 0	 11010101	 10011101	
3180	 1	 0	 0	 0	 11010101	 10011101	
3190	 0	 0	 0	 0	 11010101	 10011110	
3200	 1	 0	 0	 0	 11010101	 10011110	
3210	 0	 0	 0	 0	 11010101	 10011111	
3220	 1	 0	 0	 0	 11010101	 10011111	
3230	 0	 0	 0	 0	 11010101	 10100000	
3240	 1	 0	 0	 0	 11010101	 10100000	
3250	 0	 0	 0	 0	 11010101	 10100001	
3260	 1	 0	 0	 0	 11010101	 10100001	
3270	 0	 0	 0	 0	 11010101	 10100010	
3280	 1	 0	 0	 0	 11010101	 10100010	
3290	 0	 0	 0	 0	 11010101	 10100011	
3300	 1	 0	 0	 0	 11010101	 10100011	
3310	 0	 0	 0	 0	 11010101	 10100100	
3320	 1	 0	 0	 0	 11010101	 10100100	
3330	 0	 0	 0	 0	 11010101	 10100101	
3340	 1	 0	 0	 0	 11010101	 10100101	
3350	 0	 0	 0	 0	 11010101	 10100110	
3360	 1	 0	 0	 0	 11010101	 10100110	
3370	 0	 0	 0	 0	 11010101	 10100111	
3380	 1	 0	 0	 0	 11010101	 10100111	
3390	 0	 0	 0	 0	 11010101	 10101000	
3400	 1	 0	 0	 0	 11010101	 10101000	
3410	 0	 0	 0	 0	 11010101	 10101001	
3420	 1	 0	 0	 0	 11010101	 10101001	
3430	 0	 0	 0	 0	 11010101	 10101010	
3440	 1	 0	 0	 0	 11010101	 10101010	
3450	 0	 0	 0	 0	 11010101	 10101011	
3460	 1	 0	 0	 0	 11010101	 10101011	
3470	 0	 0	 0	 0	 11010101	 10101100	
3480	 1	 0	 0	 0	 11010101	 10101100	
3490	 0	 0	 0	 0	 11010101	 10101101	
3500	 1	 0	 0	 0	 11010101	 10101101	
3510	 0	 0	 0	 0	 11010101	 10101110	
3520	 1	 0	 0	 0	 11010101	 10101110	
3530	 0	 0	 0	 0	 11010101	 10101111	
3540	 1	 0	 0	 0	 11010101	 10101111	
3550	 0	 0	 0	 0	 11010101	 10110000	
3560	 1	 0	 0	 0	 11010101	 10110000	
3570	 0	 0	 0	 0	 11010101	 10110001	
3580	 1	 0	 0	 0	 11010101	 10110001	
3590	 0	 0	 0	 0	 11010101	 10110010	
3600	 1	 0	 0	 0	 11010101	 10110010	
3610	 0	 0	 0	 0	 11010101	 10110011	
3620	 1	 0	 0	 0	 11010101	 10110011	
3630	 0	 0	 0	 0	 11010101	 10110100	
3640	 1	 0	 0	 0	 11010101	 10110100	
3650	 0	 0	 0	 0	 11010101	 10110101	
3660	 1	 0	 0	 0	 11010101	 10110101	
3670	 0	 0	 0	 0	 11010101	 10110110	
3680	 1	 0	 0	 0	 11010101	 10110110	
3690	 0	 0	 0	 0	 11010101	 10110111	
3700	 1	 0	 0	 0	 11010101	 10110111	
3710	 0	 0	 0	 0	 11010101	 10111000	
3720	 1	 0	 0	 0	 11010101	 10111000	
3730	 0	 0	 0	 0	 11010101	 10111001	
3740	 1	 0	 0	 0	 11010101	 10111001	
3750	 0	 0	 0	 0	 11010101	 10111010	
3760	 1	 0	 0	 0	 11010101	 10111010	
